| 22/02/2006
| Normal 1.000x0.100 um 
| PMOS 1.000 0.100
| Id(Vd) for Vg=      1.20
     0.000 0.000000

     0.040 0.000000

     0.080 0.000000

     0.120 0.000000

     0.160 0.000000

     0.200 0.000000

     0.240 0.000000

     0.280 0.000000

     0.320 0.000000

     0.360 0.000000

     0.400 0.000000

     0.440 0.000000

     0.480 0.000000

     0.520 0.000000

     0.560 0.000000

     0.600 0.000000

     0.640 0.000000

     0.680 0.000000

     0.720 0.000000

     0.760 0.000000

     0.800 0.000000

     0.840 0.000000

     0.880 0.000000

     0.920 0.000000

     0.960 0.000000

     1.000 0.000000

     1.040 0.000000

     1.080 0.000000

     1.120 0.000000

     1.160 0.000000

